High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility,label
11.97999954,11.39999962,11.60000038,11.61999989,20500,11.61999989,1.751,12/8/17,49,2017,-1.154,5.892074804,red
15.60000038,13.5,13.56000042,14.22000027,122300,14.22000027,6.119,12/15/17,50,2017,4.236,5.345992237,green
13.39999962,12.61999989,13.19999981,13,32100,13,-2.985,12/22/17,51,2017,-1.6614,5.351884463,red
10.68000031,10,10.5,10.39999962,60200,10.39999962,-5.109,12/29/17,52,2017,-5.29075,5.917255128,red
12.19999981,11.43999958,11.80000019,11.46000004,22100,11.46,-1.207,1/5/18,0,2018,2.50425,3.656201615,green
11.39999962,10.39999962,11.39999962,10.5,29100,10.5,-7.08,1/12/18,1,2018,-1.6028,5.732402437,red
10,8.039999962,9.800000191,9,62900,9,-7.975,1/19/18,2,2018,-3.727,3.707250823,red
8.930000305,7.229000092,7.25,7.409999847,169500,7.409999847,1.507,1/26/18,3,2018,-3.5624,7.694883839,red
6.400000095,5.300000191,6.309999943,5.800000191,71000,5.800000191,-8.517,2/2/18,4,2018,-4.6256,6.169705001,red
4.434999943,3.845000029,4.170000076,4.03000021,64800,4.03000021,-1.707,2/9/18,5,2018,-6.926,4.764467914,red
4.5,4.050000191,4.199999809,4.295000076,41800,4.295000076,-0.116,2/16/18,6,2018,2.7374,18.86722104,red
4.579999924,4.282000065,4.579999924,4.460000038,24400,4.460000038,2.529,2/23/18,7,2018,1.06975,5.648657503,green
9.5,7.019999981,8.329999924,7.610000134,7383900,7.610000134,39.377,3/2/18,8,2018,16.4576,39.49543214,green
24.73999977,15.60999966,22.03000069,17.25,7208200,17.25,-6.706,3/9/18,9,2018,19.9164,25.55754801,green
21.45000076,17.01000023,20.04000092,17.44000053,4160600,17.44000053,12.516,3/16/18,10,2018,0.5914,9.698920574,red
17.95000076,15.85000038,17.44000053,16.04999924,295400,16.04999924,-4.973,3/23/18,11,2018,-1.6024,3.322831819,red
5.329999924,4.909999847,5.03000021,5.039999962,6331900,5.039999962,-45.038,3/29/18,12,2018,-23.85325,15.41386106,red
4.900000095,4.599999905,4.630000114,4.71999979,730900,4.71999979,-0.211,4/6/18,13,2018,-1.298,1.121161228,red
4.900000095,4.599999905,4.880000114,4.670000076,819800,4.670000076,-3.711,4/13/18,14,2018,-0.1946,2.111860152,red
4.269000053,4.099999905,4.239999771,4.239999771,523200,4.239999771,-0.703,4/20/18,15,2018,-1.8354,4.308421788,red
4.25,4.099999905,4.150000095,4.21999979,236700,4.21999979,0.957,4/27/18,16,2018,-0.0866,1.398814784,red
4.079999924,3.811000109,3.900000095,4.03000021,226800,4.03000021,2.806,5/4/18,17,2018,-0.8754,3.204732875,red
4.139999866,4.010000229,4.130000114,4.079999924,157000,4.079999924,-1.923,5/11/18,18,2018,0.2736,2.59153387,red
4.379000187,4.199999809,4.260000229,4.309999943,313600,4.309999943,0.937,5/18/18,19,2018,1.2936,6.940464523,green
3.971999884,3.849999905,3.960000038,3.910000086,227500,3.910000086,-1.511,5/25/18,20,2018,-1.9124,2.00463034,red
4.25,4.099999905,4.210000038,4.150000095,142500,4.150000095,-0.24,6/1/18,21,2018,1.50775,1.375939527,green
4.59800005,4.380000114,4.5,4.539999962,173800,4.539999962,0.221,6/8/18,22,2018,1.8726,3.937377973,red
4.570000172,4.309999943,4.440000057,4.570000172,279300,4.570000172,1.33,6/15/18,23,2018,0.151,2.191276112,green
4.210000038,4.150000095,4.170000076,4.170000076,136300,4.170000076,0.24,6/22/18,24,2018,-1.7212,4.703994122,red
4.110000134,3.930999994,4.099999905,4.079999924,277500,4.079999924,2.513,6/29/18,25,2018,-0.3734,3.937027089,red
4.869999886,4.610000134,4.75,4.630000114,296600,4.630000114,-1.068,7/6/18,26,2018,3.24325,2.903561649,green
4.360000134,4.260000229,4.309999943,4.340000153,64000,4.340000153,0.696,7/13/18,27,2018,-1.2694,1.982427754,red
4.5,4.340000153,4.400000095,4.380000114,130600,4.380000114,0,7/20/18,28,2018,0.4112,7.705144561,red
4.400000095,4.210000038,4.400000095,4.25,188000,4.25,-3.409,7/27/18,29,2018,-0.5886,1.738615627,red
4.440000057,4.349999905,4.369999886,4.369999886,98700,4.369999886,-0.682,8/3/18,30,2018,0.579,2.294856314,green
4.428999901,4.050000191,4.320000172,4.159999847,369300,4.159999847,-3.704,8/10/18,31,2018,-0.9354,3.325025834,red
3.950000048,3.859999895,3.920000076,3.920000076,115500,3.920000076,-0.759,8/17/18,32,2018,-1.1524,2.664174788,red
4.119999886,4,4.070000172,4.039999962,46700,4.039999962,-1.222,8/24/18,33,2018,0.6154,1.622675507,red
4.25,4.110000134,4.159999847,4.170000076,40400,4.170000076,-0.714,8/31/18,34,2018,0.6494,1.882573983,green
4.139999866,3.961999893,4.010000229,4.059999943,114100,4.059999943,0.744,9/7/18,35,2018,-0.6255,3.25449397,red
4.050000191,3.901000023,4.050000191,3.960000038,88900,3.960000038,-1.98,9/14/18,36,2018,-0.4628,2.957251038,red
4.03000021,3.910000086,3.99000001,4.03000021,119700,4.03000021,0.75,9/21/18,37,2018,0.3594,1.443040471,red
4.159999847,3.99000001,3.99000001,4.090000153,52100,4.090000153,1.238,9/28/18,38,2018,0.3046,1.478912878,red
4.320000172,4.099999905,4.099999905,4.170000076,89000,4.170000076,1.956,10/5/18,39,2018,0.413,2.483662819,red
4,3.900000095,3.99000001,4,32900,4,1.781,10/12/18,40,2018,-0.8118,2.052054994,red
4.139999866,4.019999981,4.019999981,4.119999886,54700,4.119999886,2.488,10/19/18,41,2018,0.6058,1.787825551,red
3.779999971,3.470000029,3.720000029,3.630000114,211700,3.630000114,-4.474,10/26/18,42,2018,-2.4838,2.034327702,red
3.694999933,3.454999924,3.549999952,3.470000029,64300,3.470000029,-1.977,11/2/18,43,2018,-0.8564,3.218546846,red
4.039999962,3.819999933,3.911999941,3.880000114,60800,3.880000114,-1.772,11/9/18,44,2018,2.3464,4.764480696,red
3.914999962,3.579999924,3.864000082,3.849999905,67500,3.849999905,-1.282,11/16/18,45,2018,-0.1292,2.559916346,red
3.930000067,3.640000105,3.640000105,3.640000105,36200,3.640000105,-1.622,11/23/18,46,2018,-1.3915,0.456708879,red
3.920000076,3.720000029,3.75999999,3.74000001,53300,3.74000001,-0.267,11/30/18,47,2018,0.5694,2.555198681,red
3.84800005,3.75,3.75,3.75,13700,3.75,-0.266,12/7/18,48,2018,0.08175,1.9879231,green
3.75999999,3.529999971,3.569999933,3.529999971,17300,3.529999971,-2.755,12/14/18,49,2018,-1.1726,2.701054202,red
2.836999893,2.099999905,2.75,2.25,163600,2.25,-18.182,12/21/18,50,2018,-8.3776,7.263326118,red
2.319999933,1.850000024,1.850000024,2.269999981,276800,2.269999981,22.703,12/28/18,51,2018,0.95275,14.62102241,red
2.489000082,2,2.25999999,2.119999886,223100,2.119999886,-6.608,12/31/18,52,2018,-6.608,0,red
